Config,Opponent,Game_ID,Q_Starts,Outcome,Moves,Total_Reward
improved,NoisyHeuristicAgent,46,True,Loss,6,-1.05
improved,NoisyHeuristicAgent,47,True,Win,4,0.97
improved,NoisyHeuristicAgent,48,True,Win,4,0.97
improved,NoisyHeuristicAgent,49,True,Win,4,0.97
improved,NoisyHeuristicAgent,50,False,Win,4,0.97
improved,NoisyHeuristicAgent,51,False,Win,4,0.97
improved,NoisyHeuristicAgent,52,False,Win,4,0.97
improved,NoisyHeuristicAgent,53,False,Win,4,0.97
improved,NoisyHeuristicAgent,54,False,Win,4,0.97
improved,NoisyHeuristicAgent,55,False,Loss,6,-1.05
improved,NoisyHeuristicAgent,56,False,Win,4,0.97
improved,NoisyHeuristicAgent,57,False,Loss,5,-1.04
improved,NoisyHeuristicAgent,58,False,Loss,7,-1.06
improved,NoisyHeuristicAgent,59,False,Loss,5,-1.04
improved,NoisyHeuristicAgent,60,False,Win,4,0.97
improved,NoisyHeuristicAgent,61,False,Win,4,0.97
improved,NoisyHeuristicAgent,62,False,Loss,5,-1.04
improved,NoisyHeuristicAgent,63,False,Loss,5,-1.04
improved,NoisyHeuristicAgent,64,False,Win,4,0.97
improved,NoisyHeuristicAgent,65,False,Win,4,0.97
improved,NoisyHeuristicAgent,66,False,Win,4,0.97
improved,NoisyHeuristicAgent,67,False,Loss,6,-1.05
improved,NoisyHeuristicAgent,68,False,Win,4,0.97
improved,NoisyHeuristicAgent,69,False,Win,4,0.97
improved,NoisyHeuristicAgent,70,False,Win,4,0.97
improved,NoisyHeuristicAgent,71,False,Win,4,0.97
improved,NoisyHeuristicAgent,72,False,Loss,5,-1.04
improved,NoisyHeuristicAgent,73,False,Win,4,0.97
improved,NoisyHeuristicAgent,74,False,Win,4,0.97
improved,NoisyHeuristicAgent,75,False,Win,4,0.97
improved,NoisyHeuristicAgent,76,False,Win,4,0.97
improved,NoisyHeuristicAgent,77,False,Loss,6,-1.05
improved,NoisyHeuristicAgent,78,False,Win,4,0.97
improved,NoisyHeuristicAgent,79,False,Loss,7,-1.06
improved,NoisyHeuristicAgent,80,False,Loss,5,-1.04
improved,NoisyHeuristicAgent,81,False,Win,4,0.97
improved,NoisyHeuristicAgent,82,False,Loss,6,-1.05
improved,NoisyHeuristicAgent,83,False,Loss,4,-1.03
improved,NoisyHeuristicAgent,84,False,Win,4,0.97
improved,NoisyHeuristicAgent,85,False,Loss,4,-1.03
improved,NoisyHeuristicAgent,86,False,Win,4,0.97
improved,NoisyHeuristicAgent,87,False,Loss,6,-1.05
improved,NoisyHeuristicAgent,88,False,Win,4,0.97
improved,NoisyHeuristicAgent,89,False,Loss,7,-1.06
improved,NoisyHeuristicAgent,90,False,Win,4,0.97
improved,NoisyHeuristicAgent,91,False,Loss,6,-1.05
improved,NoisyHeuristicAgent,92,False,Win,4,0.97
improved,NoisyHeuristicAgent,93,False,Loss,8,-1.07
